cluster,cluster_name,scope,scope_note,market,market_name,latest_date,median_mom_pct,median_yoy_pct,up_count,down_count,flat_count,observed_cities,expected_cities,coverage,status,source_url
nbs_70,全国70城总体,official_universe,国家统计局70个大中城市官方统计总体。,new,新建商品住宅,2026-08-31,-0.2,-3.55,15,49,6,70,70,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
nbs_70,全国70城总体,official_universe,国家统计局70个大中城市官方统计总体。,second_hand,二手住宅,2026-08-31,-0.3,-5.3,3,62,5,70,70,100.0,red,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
jing_jin_ji,京津冀（70城样本）,70_city_sample,国家统计局70城中位于京津冀的5个样本城市。,new,新建商品住宅,2026-08-31,-0.4,-4.3,0,5,0,5,5,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
jing_jin_ji,京津冀（70城样本）,70_city_sample,国家统计局70城中位于京津冀的5个样本城市。,second_hand,二手住宅,2026-08-31,-0.5,-5.6,0,5,0,5,5,100.0,red,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,70_city_sample,国家统计局70城中位于长三角四省市的12个样本城市。,new,新建商品住宅,2026-08-31,0.0,-2.9000000000000004,6,6,0,12,12,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,70_city_sample,国家统计局70城中位于长三角四省市的12个样本城市。,second_hand,二手住宅,2026-08-31,-0.2,-4.1,2,8,2,12,12,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
greater_bay_area,粤港澳大湾区（70城样本）,70_city_sample,70城只覆盖广州、深圳、惠州，不等同于大湾区9市+香港+澳门。,new,新建商品住宅,2026-08-31,0.2,-2.3,3,0,0,3,3,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
greater_bay_area,粤港澳大湾区（70城样本）,70_city_sample,70城只覆盖广州、深圳、惠州，不等同于大湾区9市+香港+澳门。,second_hand,二手住宅,2026-08-31,0.0,-3.8,1,1,1,3,3,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
chengdu_chongqing,成渝地区（70城样本）,70_city_sample,70城中的重庆、成都、泸州、南充样本，不等同于双城经济圈完整范围。,new,新建商品住宅,2026-08-31,-0.2,-4.25,0,3,1,4,4,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
chengdu_chongqing,成渝地区（70城样本）,70_city_sample,70城中的重庆、成都、泸州、南充样本，不等同于双城经济圈完整范围。,second_hand,二手住宅,2026-08-31,-0.4,-5.65,0,4,0,4,4,100.0,red,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,70_city_sample,70城中的鄂湘赣8个代表城市，不等同于城市群完整范围。,new,新建商品住宅,2026-08-31,-0.25,-4.55,0,7,1,8,8,100.0,yellow,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,70_city_sample,70城中的鄂湘赣8个代表城市，不等同于城市群完整范围。,second_hand,二手住宅,2026-08-31,-0.2,-6.15,0,8,0,8,8,100.0,red,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
